effective_defense,structural_role,outcome,blocks,mean,sd_across_blocks
memgq_lattice_sticky,repetition,task_average_precision,8,0.3526273151473274,0.03146971330555754
memgq_lattice_sticky,repetition,minority_class_recall,8,0.5531674208144797,0.13826049767224696
memgq_lattice_sticky,repetition,prediction_collapse,8,0.0,0.0
memgq_lattice_sticky,repetition,nll,8,0.5717959329485893,0.058291985189423995
memgq_lattice_sticky,stress,accuracy,8,0.59825,0.11171519911939339
memgq_lattice_sticky,stress,balanced_accuracy,8,0.5933464849354376,0.02362048109753798
memgq_lattice_sticky,stress,task_roc_auc,8,0.6242338114766001,0.030775023008487643
memgq_lattice_sticky,stress,task_average_precision,8,0.3261060659632796,0.02504194615578149
memgq_lattice_sticky,stress,minority_class_recall,8,0.5845588235294118,0.18361444526084733
memgq_lattice_sticky,stress,prediction_collapse,8,0.0,0.0
memgq_lattice_sticky,stress,nll,8,0.6119542568922043,0.07781255799460543
memguard,low,accuracy,8,0.583,0.06615242140045108
memguard,low,balanced_accuracy,8,0.6192113830819185,0.03293270044656919
memguard,low,task_roc_auc,8,0.6646534780348399,0.04954995691300704
memguard,low,task_average_precision,8,0.3537435963359105,0.06097029590998008
memguard,low,minority_class_recall,8,0.684106334841629,0.10390319217481542
memguard,low,prediction_collapse,8,0.0,0.0
memguard,low,nll,8,0.5036894716322422,0.016283910903756568
memguard,repetition,accuracy,8,0.665375,0.07289461571337078
memguard,repetition,balanced_accuracy,8,0.6255928385968785,0.0184497635528869
memguard,repetition,task_roc_auc,8,0.6728235236031808,0.026046847335493655
memguard,repetition,task_average_precision,8,0.37265884677211003,0.034866546328307345
memguard,repetition,minority_class_recall,8,0.5542986425339367,0.13839793884323187
memguard,repetition,prediction_collapse,8,0.0,0.0
memguard,repetition,nll,8,0.5289497449994087,0.028939958420790515
memguard,stress,accuracy,8,0.5996874999999999,0.11111574965516172
memguard,stress,balanced_accuracy,8,0.5947755780993151,0.022786565092000433
memguard,stress,task_roc_auc,8,0.6334047486625736,0.027452479101783958
memguard,stress,task_average_precision,8,0.3365611022433752,0.02612588043566514
memguard,stress,minority_class_recall,8,0.5859728506787331,0.18267241892136846
memguard,stress,prediction_collapse,8,0.0,0.0
memguard,stress,nll,8,0.5761963501572609,0.03399532999783418
none,low,accuracy,8,0.583,0.06615242140045108
none,low,balanced_accuracy,8,0.6192113830819185,0.03293270044656919
none,low,task_roc_auc,8,0.6747012391161659,0.04491134378462916
none,low,task_average_precision,8,0.36845627182096913,0.054879549146091805
none,low,minority_class_recall,8,0.684106334841629,0.10390319217481542
none,low,prediction_collapse,8,0.0,0.0
none,low,nll,8,0.5043228454887867,0.017185314432465553
none,repetition,accuracy,8,0.665375,0.07289461571337078
none,repetition,balanced_accuracy,8,0.6255928385968785,0.0184497635528869
none,repetition,task_roc_auc,8,0.6748542589989486,0.02866661105002797
none,repetition,task_average_precision,8,0.37371618843748866,0.029612785793023413
none,repetition,minority_class_recall,8,0.5542986425339367,0.13839793884323187
none,repetition,prediction_collapse,8,0.0,0.0
none,repetition,nll,8,0.5376216135919094,0.03368726959802904
none,stress,accuracy,8,0.5996874999999999,0.11111574965516172
none,stress,balanced_accuracy,8,0.5947755780993151,0.022786565092000433
none,stress,task_roc_auc,8,0.6393999333464995,0.0263409761209666
none,stress,task_average_precision,8,0.33859214261867704,0.022256488967064194
none,stress,minority_class_recall,8,0.5859728506787331,0.18267241892136846
none,stress,prediction_collapse,8,0.0,0.0
none,stress,nll,8,0.5869942605495453,0.04001975869090107
