target_id,block_id,structural_cell_id,structural_role,training_defense,defense,attack,attack_fit,auc,balanced_accuracy,tpr_at_5_fpr,tpr_at_10_fpr,threshold,score_direction,evaluation_mean_probability_std,evaluation_mean_label_flip_rate,effective_defense
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,confidence,adaptive_defended_calibration,0.4718,0.49,0.07,0.14,0.8453390300273895,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,maximum_probability,adaptive_defended_calibration,0.4889,0.49,0.08,0.16,0.8369212448596954,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,entropy,adaptive_defended_calibration,0.4889,0.49,0.08,0.16,-0.4446985423564911,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,margin,adaptive_defended_calibration,0.4889,0.49,0.08,0.16,0.6738424897193909,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,correctness,adaptive_defended_calibration,0.51,0.51,0.0,0.0,0.5,as_defined,,,memgq_lattice_sticky
PETS_CREDIT_high_eff_su2_r5_d6_b01__none,pets_b01,eff_su2_r5_d6,high,none,memgq_lattice_sticky,learned_pv_stats_logistic,adaptive_defended_calibration,0.4912999999999999,0.51,0.07,0.12,0.4747090402279647,,,,memgq_lattice_sticky
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,loss,adaptive_defended_calibration,0.514,0.525,0.06,0.12,0.0700842663645744,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,confidence,adaptive_defended_calibration,0.514,0.525,0.06,0.12,-0.932315230369568,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,maximum_probability,adaptive_defended_calibration,0.5188999999999999,0.515,0.07,0.09,-0.932315230369568,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,entropy,adaptive_defended_calibration,0.5188999999999999,0.515,0.07,0.09,0.2476082816720008,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,margin,adaptive_defended_calibration,0.5188999999999999,0.515,0.07,0.09,-0.8646304905414581,inverted_from_calibration,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,correctness,adaptive_defended_calibration,0.5,0.5,0.0,0.0,-inf,as_defined,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__dp_qml,pets_b01,eff_su2_r1_d6,low,dp_qml,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.5167999999999999,0.52,0.06,0.09,0.49120464469322,,,,dp_qml
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,loss,adaptive_defended_calibration,0.5126,0.49,0.13,0.16,-0.5814376473426819,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,confidence,adaptive_defended_calibration,0.5126,0.49,0.13,0.16,0.559094101190567,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,maximum_probability,adaptive_defended_calibration,0.5118,0.49,0.13,0.15,0.559094101190567,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,entropy,adaptive_defended_calibration,0.5118,0.49,0.13,0.15,-0.6861463189125061,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,margin,adaptive_defended_calibration,0.5118,0.49,0.13,0.15,0.11818827688694,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,correctness,adaptive_defended_calibration,0.495,0.5,0.0,0.0,-inf,as_defined,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,none,learned_pv_stats_logistic,adaptive_defended_calibration,0.4472,0.45,0.05,0.1,0.5011676415944168,,,,hamp_train
PETS_CREDIT_low_eff_su2_r1_d6_b01__hamp_train,pets_b01,eff_su2_r1_d6,low,hamp_train,hamp_output,loss,adaptive_defended_calibration,0.4922999999999999,0.49,0.03,0.13,0.5618412494659424,inverted_from_calibration,,,hamp_full
