outcome,attack,factor,contrast,block_id,block_effect,within_block_pairs
auc,learned_prediction_vector_stats,feature_map,Z - EfficientSU2,wdbc_b02,0.0078125,2
auc,learned_prediction_vector_stats,feature_map,Z - EfficientSU2,wdbc_b03,0.07232481060606052,2
auc,learned_prediction_vector_stats,feature_map,Z - EfficientSU2,wdbc_b04,0.057646780303030276,2
auc,learned_prediction_vector_stats,feature_map,Z - EfficientSU2,wdbc_b05,0.08238636363636367,2
auc,learned_prediction_vector_stats,feature_map,ZZ - EfficientSU2,wdbc_b01,-0.015625000000000056,2
auc,learned_prediction_vector_stats,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.036695075757575774,2
auc,learned_prediction_vector_stats,feature_map,ZZ - EfficientSU2,wdbc_b03,0.08522727272727262,2
auc,learned_prediction_vector_stats,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.01183712121212116,2
auc,learned_prediction_vector_stats,feature_map,ZZ - EfficientSU2,wdbc_b05,0.06676136363636362,2
auc,learned_prediction_vector_stats,feature_map,ZZ - Z,wdbc_b01,-0.05089962121212119,2
auc,learned_prediction_vector_stats,feature_map,ZZ - Z,wdbc_b02,-0.044507575757575774,2
auc,learned_prediction_vector_stats,feature_map,ZZ - Z,wdbc_b03,0.0129024621212121,2
auc,learned_prediction_vector_stats,feature_map,ZZ - Z,wdbc_b04,-0.06948390151515144,2
auc,learned_prediction_vector_stats,feature_map,ZZ - Z,wdbc_b05,-0.015625000000000056,2
auc,global_true_class_log_odds,repetitions,5 - 1,wdbc_b01,0.07668619791666666,3
auc,global_true_class_log_odds,repetitions,5 - 1,wdbc_b02,0.028053385416666726,3
auc,global_true_class_log_odds,repetitions,5 - 1,wdbc_b03,0.01318359375,3
auc,global_true_class_log_odds,feature_map,Z - EfficientSU2,wdbc_b01,0.03676757812500006,2
auc,global_true_class_log_odds,feature_map,Z - EfficientSU2,wdbc_b02,-0.002197265625000111,2
auc,global_true_class_log_odds,feature_map,Z - EfficientSU2,wdbc_b03,0.0048828125,2
auc,global_true_class_log_odds,feature_map,ZZ - EfficientSU2,wdbc_b01,0.012792968749999967,2
auc,global_true_class_log_odds,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.04640625000000004,2
auc,global_true_class_log_odds,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.03333007812500005,2
auc,global_true_class_log_odds,feature_map,ZZ - Z,wdbc_b01,-0.023974609375000094,2
auc,global_true_class_log_odds,feature_map,ZZ - Z,wdbc_b02,-0.04420898437499993,2
auc,global_true_class_log_odds,feature_map,ZZ - Z,wdbc_b03,-0.03821289062500005,2
auc,lira_offline,repetitions,5 - 1,wdbc_b01,0.009427083333333308,3
auc,lira_offline,repetitions,5 - 1,wdbc_b02,-0.0673437500000001,3
auc,lira_offline,repetitions,5 - 1,wdbc_b03,-0.06454427083333335,3
auc,lira_offline,feature_map,Z - EfficientSU2,wdbc_b01,0.040898437499999996,2
auc,lira_offline,feature_map,Z - EfficientSU2,wdbc_b02,0.012187500000000101,2
auc,lira_offline,feature_map,Z - EfficientSU2,wdbc_b03,0.017148437500000113,2
auc,lira_offline,feature_map,ZZ - EfficientSU2,wdbc_b01,0.10921874999999989,2
auc,lira_offline,feature_map,ZZ - EfficientSU2,wdbc_b02,-0.019472656249999998,2
auc,lira_offline,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.023359374999999932,2
