effective_defense,structural_role,attack,outcome,count,mean,std
l2,high,confidence,tpr_at_10_fpr,1,0.11,
l2,high,correctness,auc,1,0.525,
l2,high,correctness,balanced_accuracy,1,0.525,
l2,high,correctness,tpr_at_5_fpr,1,0.0,
l2,high,correctness,tpr_at_10_fpr,1,0.0,
l2,high,entropy,auc,1,0.4116999999999999,
l2,high,entropy,balanced_accuracy,1,0.44,
l2,high,entropy,tpr_at_5_fpr,1,0.03,
l2,high,entropy,tpr_at_10_fpr,1,0.05,
l2,high,global_true_class_log_odds,auc,1,0.5651999999999999,
l2,high,global_true_class_log_odds,balanced_accuracy,1,0.5499999999999999,
l2,high,global_true_class_log_odds,tpr_at_5_fpr,1,0.06,
l2,high,global_true_class_log_odds,tpr_at_10_fpr,1,0.13,
l2,high,label_only_hsj,auc,1,0.55,
l2,high,label_only_hsj,balanced_accuracy,1,0.55,
l2,high,label_only_hsj,tpr_at_5_fpr,1,0.0,
l2,high,label_only_hsj,tpr_at_10_fpr,1,0.0,
l2,high,learned_pv_stats_logistic,auc,1,0.4478999999999999,
l2,high,learned_pv_stats_logistic,balanced_accuracy,1,0.4649999999999999,
l2,high,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.03,
l2,high,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.04,
l2,high,lira_offline,auc,1,0.4262,
l2,high,lira_offline,balanced_accuracy,1,0.505,
l2,high,lira_offline,tpr_at_5_fpr,1,0.09,
l2,high,lira_offline,tpr_at_10_fpr,1,0.11,
l2,high,lira_offline_fixed_variance,auc,1,0.5627,
l2,high,lira_offline_fixed_variance,balanced_accuracy,1,0.55,
l2,high,lira_offline_fixed_variance,tpr_at_5_fpr,1,0.11,
l2,high,lira_offline_fixed_variance,tpr_at_10_fpr,1,0.14,
l2,high,lira_online,auc,1,0.44509999999999994,
l2,high,lira_online,balanced_accuracy,1,0.44,
l2,high,lira_online,tpr_at_5_fpr,1,0.07,
l2,high,lira_online,tpr_at_10_fpr,1,0.1,
l2,high,lira_online_fixed_variance,auc,1,0.4667,
l2,high,lira_online_fixed_variance,balanced_accuracy,1,0.45999999999999996,
l2,high,lira_online_fixed_variance,tpr_at_5_fpr,1,0.06,
l2,high,lira_online_fixed_variance,tpr_at_10_fpr,1,0.11,
l2,high,loss,auc,1,0.4255,
l2,high,loss,balanced_accuracy,1,0.4399999999999999,
l2,high,loss,tpr_at_5_fpr,1,0.07,
l2,high,loss,tpr_at_10_fpr,1,0.11,
l2,high,margin,auc,1,0.4116999999999999,
l2,high,margin,balanced_accuracy,1,0.44,
l2,high,margin,tpr_at_5_fpr,1,0.03,
l2,high,margin,tpr_at_10_fpr,1,0.05,
l2,high,maximum_probability,auc,1,0.4116999999999999,
l2,high,maximum_probability,balanced_accuracy,1,0.44,
l2,high,maximum_probability,tpr_at_5_fpr,1,0.03,
l2,high,maximum_probability,tpr_at_10_fpr,1,0.05,
l2,low,confidence,auc,1,0.5243,
l2,low,confidence,balanced_accuracy,1,0.52,
l2,low,confidence,tpr_at_5_fpr,1,0.06,
l2,low,confidence,tpr_at_10_fpr,1,0.07,
l2,low,correctness,auc,1,0.525,
l2,low,correctness,balanced_accuracy,1,0.525,
l2,low,correctness,tpr_at_5_fpr,1,0.0,
l2,low,correctness,tpr_at_10_fpr,1,0.0,
l2,low,entropy,auc,1,0.4639999999999999,
l2,low,entropy,balanced_accuracy,1,0.505,
l2,low,entropy,tpr_at_5_fpr,1,0.05,
l2,low,entropy,tpr_at_10_fpr,1,0.08,
l2,low,global_true_class_log_odds,auc,1,0.5603,
l2,low,global_true_class_log_odds,balanced_accuracy,1,0.535,
l2,low,global_true_class_log_odds,tpr_at_5_fpr,1,0.06,
l2,low,global_true_class_log_odds,tpr_at_10_fpr,1,0.16,
l2,low,label_only_hsj,auc,1,0.55,
l2,low,label_only_hsj,balanced_accuracy,1,0.55,
l2,low,label_only_hsj,tpr_at_5_fpr,1,0.0,
l2,low,label_only_hsj,tpr_at_10_fpr,1,0.0,
l2,low,learned_pv_stats_logistic,auc,1,0.4737,
l2,low,learned_pv_stats_logistic,balanced_accuracy,1,0.51,
l2,low,learned_pv_stats_logistic,tpr_at_5_fpr,1,0.05,
l2,low,learned_pv_stats_logistic,tpr_at_10_fpr,1,0.12,
l2,low,lira_offline,auc,1,0.5486,
l2,low,lira_offline,balanced_accuracy,1,0.55,
l2,low,lira_offline,tpr_at_5_fpr,1,0.09,
l2,low,lira_offline,tpr_at_10_fpr,1,0.2,
l2,low,lira_offline_fixed_variance,auc,1,0.5070999999999999,
l2,low,lira_offline_fixed_variance,balanced_accuracy,1,0.49,
l2,low,lira_offline_fixed_variance,tpr_at_5_fpr,1,0.08,
l2,low,lira_offline_fixed_variance,tpr_at_10_fpr,1,0.16,
l2,low,lira_online,auc,1,0.5409999999999999,
l2,low,lira_online,balanced_accuracy,1,0.525,
l2,low,lira_online,tpr_at_5_fpr,1,0.1,
l2,low,lira_online,tpr_at_10_fpr,1,0.15,
l2,low,lira_online_fixed_variance,auc,1,0.5417000000000001,
l2,low,lira_online_fixed_variance,balanced_accuracy,1,0.5700000000000001,
l2,low,lira_online_fixed_variance,tpr_at_5_fpr,1,0.12,
l2,low,lira_online_fixed_variance,tpr_at_10_fpr,1,0.16,
l2,low,loss,auc,1,0.5243,
l2,low,loss,balanced_accuracy,1,0.52,
l2,low,loss,tpr_at_5_fpr,1,0.06,
l2,low,loss,tpr_at_10_fpr,1,0.07,
l2,low,margin,auc,1,0.4639999999999999,
l2,low,margin,balanced_accuracy,1,0.505,
l2,low,margin,tpr_at_5_fpr,1,0.05,
l2,low,margin,tpr_at_10_fpr,1,0.08,
l2,low,maximum_probability,auc,1,0.4639999999999999,
l2,low,maximum_probability,balanced_accuracy,1,0.505,
l2,low,maximum_probability,tpr_at_5_fpr,1,0.05,
l2,low,maximum_probability,tpr_at_10_fpr,1,0.08,
l2+dynanoise,high,global_true_class_log_odds,auc,1,0.5303000000000001,
l2+dynanoise,high,global_true_class_log_odds,balanced_accuracy,1,0.52,
l2+dynanoise,high,global_true_class_log_odds,tpr_at_5_fpr,1,0.04,
l2+dynanoise,high,global_true_class_log_odds,tpr_at_10_fpr,1,0.15,
l2+dynanoise,high,lira_offline,auc,1,0.5009,
l2+dynanoise,high,lira_offline,balanced_accuracy,1,0.495,
l2+dynanoise,high,lira_offline,tpr_at_5_fpr,1,0.05,
l2+dynanoise,high,lira_offline,tpr_at_10_fpr,1,0.08,
l2+dynanoise,high,lira_offline_fixed_variance,auc,1,0.4723,
