target_id,mode,aggregation,attack,simulator_seed,contrast,treatment_queries,treatment_shots,baseline_queries,baseline_shots,auc_difference
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,9,repeat_20x128_minus_1x128,20,128,1,128,0.0025000000000000577
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,9,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.007499999999999951
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,correctness,9,equal_total_20x128_minus_1x2560,20,128,1,2560,1.1102230246251565e-16
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,0,single_shot_512_minus_128,1,512,1,128,-0.053649999999999975
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,0,single_shot_2560_minus_128,1,2560,1,128,-0.05777499999999991
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,0,repeat_5x128_minus_1x128,5,128,1,128,-0.03412499999999996
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,0,repeat_20x128_minus_1x128,20,128,1,128,-0.04067500000000002
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,0,equal_total_5x512_minus_1x2560,5,512,1,2560,0.011749999999999927
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,0,equal_total_20x128_minus_1x2560,20,128,1,2560,0.017099999999999893
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,1,single_shot_512_minus_128,1,512,1,128,-0.04080000000000006
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,1,single_shot_2560_minus_128,1,2560,1,128,-0.027350000000000096
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,1,repeat_5x128_minus_1x128,5,128,1,128,-0.005775000000000086
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,1,repeat_20x128_minus_1x128,20,128,1,128,-0.017900000000000027
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,1,equal_total_5x512_minus_1x2560,5,512,1,2560,0.01090000000000002
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,1,equal_total_20x128_minus_1x2560,20,128,1,2560,0.00945000000000007
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,2,single_shot_512_minus_128,1,512,1,128,0.02820000000000006
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,2,single_shot_2560_minus_128,1,2560,1,128,0.01877500000000004
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,2,repeat_5x128_minus_1x128,5,128,1,128,0.031799999999999995
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,2,repeat_20x128_minus_1x128,20,128,1,128,0.023999999999999966
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,2,equal_total_5x512_minus_1x2560,5,512,1,2560,0.0038999999999999035
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,2,equal_total_20x128_minus_1x2560,20,128,1,2560,0.005224999999999924
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,3,single_shot_512_minus_128,1,512,1,128,-0.05840000000000012
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,3,single_shot_2560_minus_128,1,2560,1,128,-0.02354999999999996
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,3,repeat_5x128_minus_1x128,5,128,1,128,-0.020675
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,3,repeat_20x128_minus_1x128,20,128,1,128,-0.029574999999999907
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,3,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.01737500000000003
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,3,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.006024999999999947
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,4,single_shot_512_minus_128,1,512,1,128,0.005024999999999835
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,4,single_shot_2560_minus_128,1,2560,1,128,0.012174999999999936
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,4,repeat_5x128_minus_1x128,5,128,1,128,0.00014999999999987246
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,4,repeat_20x128_minus_1x128,20,128,1,128,0.015424999999999911
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,4,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.0017249999999999766
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,4,equal_total_20x128_minus_1x2560,20,128,1,2560,0.003249999999999975
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,5,single_shot_512_minus_128,1,512,1,128,0.002175000000000038
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,5,single_shot_2560_minus_128,1,2560,1,128,0.014500000000000068
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,5,repeat_5x128_minus_1x128,5,128,1,128,0.010224999999999929
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,5,repeat_20x128_minus_1x128,20,128,1,128,0.008849999999999913
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,5,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.005925000000000069
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,5,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.005650000000000155
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,6,single_shot_512_minus_128,1,512,1,128,0.0048000000000000265
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,6,single_shot_2560_minus_128,1,2560,1,128,0.010874999999999968
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,6,repeat_5x128_minus_1x128,5,128,1,128,-0.0021999999999999797
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,6,repeat_20x128_minus_1x128,20,128,1,128,0.008424999999999905
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,6,equal_total_5x512_minus_1x2560,5,512,1,2560,-0.0024250000000000105
MNIST_QNN_eff_su2_r1_d6_s43,ideal_shot,mean_api_probabilities,entropy,6,equal_total_20x128_minus_1x2560,20,128,1,2560,-0.0024500000000000632
